Date,IT Dep.,CostElement,Country,Forecast
01/02/2020,Document Management,Software Maintenance,USA,"58,195"
01/03/2020,Document Management,Software Maintenance,USA,"67,530"
01/04/2020,Document Management,Software Maintenance,USA,"106,576"
01/05/2020,Document Management,Software Maintenance,USA,"67,530"
01/06/2020,Document Management,Software Maintenance,USA,"59,799"
01/07/2020,Document Management,Software Maintenance,USA,"84,618"
01/08/2020,Document Management,Software Maintenance,USA,"63,044"
01/09/2020,Document Management,Software Maintenance,USA,"85,244"
01/10/2020,Document Management,Software Maintenance,USA,"63,485"
01/11/2020,Document Management,Software Maintenance,USA,"63,044"
01/12/2020,Document Management,Software Maintenance,USA,"63,044"
01/01/2020,Document Management,Supplies,USA,16
01/02/2020,Document Management,Supplies,USA,35
01/03/2020,Document Management,Supplies,USA,686
01/04/2020,Document Management,Supplies,USA,80
01/05/2020,Document Management,Supplies,USA,42
01/06/2020,Document Management,Supplies,USA,128
01/07/2020,Document Management,Supplies,USA,705
01/08/2020,Document Management,Supplies,USA,705
01/09/2020,Document Management,Supplies,USA,705
01/10/2020,Document Management,Supplies,USA,705
01/11/2020,Document Management,Supplies,USA,705
01/12/2020,Document Management,Supplies,USA,705
01/01/2020,Document Management,Taxes,USA,171
01/02/2020,Document Management,Taxes,USA,137
01/03/2020,Document Management,Taxes,USA,154
01/04/2020,Document Management,Taxes,USA,154
01/05/2020,Document Management,Taxes,USA,154
01/06/2020,Document Management,Taxes,USA,154
01/07/2020,Document Management,Taxes,USA,154
01/08/2020,Document Management,Taxes,USA,154
01/09/2020,Document Management,Taxes,USA,154
01/10/2020,Document Management,Taxes,USA,154
01/11/2020,Document Management,Taxes,USA,154
01/12/2020,Document Management,Taxes,USA,154
01/02/2020,Document Management,Telecomm,USA,"2,309"
01/03/2020,Document Management,Telecomm,USA,973
01/04/2020,Document Management,Telecomm,USA,714
01/06/2020,Document Management,Telecomm,USA,"1,672"
01/07/2020,Document Management,Telecomm,USA,"1,650"
01/08/2020,Document Management,Telecomm,USA,"1,650"
01/09/2020,Document Management,Telecomm,USA,"1,650"
01/10/2020,Document Management,Telecomm,USA,"1,650"
01/11/2020,Document Management,Telecomm,USA,"1,650"
01/12/2020,Document Management,Telecomm,USA,"1,650"
01/01/2020,Document Management,Training,USA,27
01/03/2020,Document Management,Training,USA,"2,630"
01/04/2020,Document Management,Training,USA,"2,511"
01/05/2020,Document Management,Training,USA,642
01/06/2020,Document Management,Training,USA,"1,459"
01/07/2020,Document Management,Training,USA,"6,313"
01/08/2020,Document Management,Training,USA,"6,313"
01/09/2020,Document Management,Training,USA,"6,313"
01/10/2020,Document Management,Training,USA,"6,313"
01/11/2020,Document Management,Training,USA,"6,313"
01/12/2020,Document Management,Training,USA,"6,313"
01/01/2020,Document Management,Travel,USA,158
01/03/2020,Document Management,Travel,USA,49
01/04/2020,Document Management,Travel,USA,"2,239"
01/05/2020,Document Management,Travel,USA,"1,295"
01/06/2020,Document Management,Travel,USA,599
01/07/2020,Document Management,Travel,USA,"9,952"
01/08/2020,Document Management,Travel,USA,"12,052"
01/09/2020,Document Management,Travel,USA,"9,952"
01/10/2020,Document Management,Travel,USA,"4,352"
01/11/2020,Document Management,Travel,USA,"6,452"
01/12/2020,Document Management,Travel,USA,"4,352"
01/07/2020,EIM,Administrative,USA,"-57,221"
01/08/2020,EIM,Administrative,USA,"-57,221"
01/09/2020,EIM,Administrative,USA,"-57,221"
01/10/2020,EIM,Administrative,USA,"-57,221"
01/11/2020,EIM,Administrative,USA,"-57,221"
01/12/2020,EIM,Administrative,USA,"-57,221"
01/01/2020,EIM,Amortization,Italy,157
01/02/2020,EIM,Amortization,Italy,162
01/03/2020,EIM,Amortization,Italy,163
01/04/2020,EIM,Amortization,Italy,167
01/05/2020,EIM,Amortization,Italy,175
01/06/2020,EIM,Amortization,Italy,169
01/07/2020,EIM,Amortization,Italy,165
01/08/2020,EIM,Amortization,Italy,165
01/09/2020,EIM,Amortization,Italy,165
01/10/2020,EIM,Amortization,Italy,165
01/11/2020,EIM,Amortization,Italy,165
01/12/2020,EIM,Amortization,Italy,165
01/03/2020,EIM,CAPEX,USA,30
01/01/2020,EIM,Depreciation,Italy,"1,558"
01/02/2020,EIM,Depreciation,Italy,"1,606"
01/03/2020,EIM,Depreciation,Italy,"1,612"
01/04/2020,EIM,Depreciation,Italy,"1,652"
01/05/2020,EIM,Depreciation,Italy,"1,735"
01/06/2020,EIM,Depreciation,Italy,"1,674"
01/07/2020,EIM,Depreciation,Italy,"1,650"
01/08/2020,EIM,Depreciation,Italy,"1,650"
01/09/2020,EIM,Depreciation,Italy,"1,650"
01/10/2020,EIM,Depreciation,Italy,"1,650"
01/11/2020,EIM,Depreciation,Italy,"1,650"
01/12/2020,EIM,Depreciation,Italy,"1,650"
01/01/2020,EIM,Employee Performance,USA,6
01/02/2020,EIM,Employee Performance,USA,382
01/03/2020,EIM,Employee Performance,USA,145
01/04/2020,EIM,Employee Performance,USA,30
01/05/2020,EIM,Employee Performance,USA,919
01/06/2020,EIM,Employee Performance,USA,146
01/07/2020,EIM,Employee Performance,USA,91
01/08/2020,EIM,Employee Performance,USA,91
01/09/2020,EIM,Employee Performance,USA,91
01/10/2020,EIM,Employee Performance,USA,91
01/11/2020,EIM,Employee Performance,USA,91
01/12/2020,EIM,Employee Performance,USA,91
01/07/2020,EIM,External Labor,Italy,"19,489"
01/08/2020,EIM,External Labor,Italy,"2,250"
01/09/2020,EIM,External Labor,Italy,"2,250"
01/10/2020,EIM,External Labor,Italy,"2,250"
01/11/2020,EIM,External Labor,Italy,"2,250"
01/12/2020,EIM,External Labor,Italy,"2,250"
01/01/2020,EIM,External Labor,USA,"40,877"
01/02/2020,EIM,External Labor,USA,"91,428"
01/03/2020,EIM,External Labor,USA,"63,481"
01/04/2020,EIM,External Labor,USA,"120,466"
01/05/2020,EIM,External Labor,USA,"128,614"
01/06/2020,EIM,External Labor,USA,"30,064"
01/07/2020,EIM,External Labor,USA,"140,978"
01/08/2020,EIM,External Labor,USA,"104,237"
01/09/2020,EIM,External Labor,USA,"104,177"
01/10/2020,EIM,External Labor,USA,"99,817"
01/11/2020,EIM,External Labor,USA,"99,817"
01/12/2020,EIM,External Labor,USA,"98,521"
01/01/2020,EIM,Hardware,USA,"1,428"
01/02/2020,EIM,Hardware,USA,"2,112"
01/03/2020,EIM,Hardware,USA,"3,090"
01/04/2020,EIM,Hardware,USA,879
01/05/2020,EIM,Hardware,USA,271
01/06/2020,EIM,Hardware,USA,"3,271"
01/07/2020,EIM,Hardware,USA,"11,372"
01/08/2020,EIM,Hardware,USA,"10,125"
01/09/2020,EIM,Hardware,USA,"10,125"
01/10/2020,EIM,Hardware,USA,"10,125"
01/11/2020,EIM,Hardware,USA,"10,125"
01/12/2020,EIM,Hardware,USA,"10,125"
01/03/2020,EIM,Hardware Maintenance,Italy,"6,236"
01/05/2020,EIM,Hardware Maintenance,Italy,"1,678"
01/06/2020,EIM,Hardware Maintenance,Italy,"3,237"
01/07/2020,EIM,Hardware Maintenance,USA,146
01/08/2020,EIM,Hardware Maintenance,USA,146
01/09/2020,EIM,Hardware Maintenance,USA,146
01/10/2020,EIM,Hardware Maintenance,USA,146
01/11/2020,EIM,Hardware Maintenance,USA,146
01/12/2020,EIM,Hardware Maintenance,USA,146
01/01/2020,EIM,Internal Labor,Belgium,"6,006"
01/02/2020,EIM,Internal Labor,Belgium,"-6,601"
01/03/2020,EIM,Internal Labor,Belgium,409
01/04/2020,EIM,Internal Labor,Belgium,"1,029"
01/01/2020,EIM,Internal Labor,Italy,"1,913"
01/02/2020,EIM,Internal Labor,Italy,"2,185"
01/03/2020,EIM,Internal Labor,Italy,"1,899"
01/04/2020,EIM,Internal Labor,Italy,"1,893"
01/05/2020,EIM,Internal Labor,Italy,"4,102"
01/06/2020,EIM,Internal Labor,Italy,"3,788"
01/07/2020,EIM,Internal Labor,Italy,"8,045"
01/08/2020,EIM,Internal Labor,Italy,"8,045"
01/09/2020,EIM,Internal Labor,Italy,"8,045"
01/10/2020,EIM,Internal Labor,Italy,"8,045"
01/11/2020,EIM,Internal Labor,Italy,"8,045"
01/12/2020,EIM,Internal Labor,Italy,"8,045"
01/01/2020,EIM,Internal Labor,USA,"112,378"
01/02/2020,EIM,Internal Labor,USA,"111,433"
01/03/2020,EIM,Internal Labor,USA,"124,228"
01/04/2020,EIM,Internal Labor,USA,"107,334"
01/05/2020,EIM,Internal Labor,USA,"103,594"
01/06/2020,EIM,Internal Labor,USA,"104,452"
01/07/2020,EIM,Internal Labor,USA,"111,136"
01/08/2020,EIM,Internal Labor,USA,"111,129"
01/09/2020,EIM,Internal Labor,USA,"110,543"
01/10/2020,EIM,Internal Labor,USA,"112,368"
01/11/2020,EIM,Internal Labor,USA,"111,317"
01/12/2020,EIM,Internal Labor,USA,"111,066"
01/02/2020,EIM,Other,Belgium,29
01/03/2020,EIM,Other,Belgium,-30
01/01/2020,EIM,Other,Italy,"12,004"
01/02/2020,EIM,Other,Italy,29
01/03/2020,EIM,Other,Italy,"-20,945"
01/05/2020,EIM,Other,Italy,4
01/06/2020,EIM,Other,Italy,"-5,343"
01/02/2020,EIM,Other,USA,43
01/03/2020,EIM,Other,USA,23
01/04/2020,EIM,Other,USA,158
01/06/2020,EIM,Other,USA,64
01/07/2020,EIM,Other,USA,"57,089"
01/08/2020,EIM,Other,USA,"57,089"
01/09/2020,EIM,Other,USA,"57,089"
01/10/2020,EIM,Other,USA,89
01/11/2020,EIM,Other,USA,89
01/12/2020,EIM,Other,USA,89
01/07/2020,EIM,Recognition,USA,94
01/08/2020,EIM,Recognition,USA,94
01/09/2020,EIM,Recognition,USA,94
01/10/2020,EIM,Recognition,USA,94
01/11/2020,EIM,Recognition,USA,94
01/12/2020,EIM,Recognition,USA,94
01/01/2020,EIM,Severance,Italy,93
01/02/2020,EIM,Severance,Italy,88
01/03/2020,EIM,Severance,Italy,71
01/04/2020,EIM,Severance,Italy,100
01/05/2020,EIM,Severance,Italy,206
01/06/2020,EIM,Severance,Italy,367
01/02/2020,EIM,Software,USA,"13,941"
01/03/2020,EIM,Software,USA,"12,505"
01/04/2020,EIM,Software,USA,"6,971"
01/05/2020,EIM,Software,USA,"56,055"
01/06/2020,EIM,Software,USA,"-36,969"
01/07/2020,EIM,Software,USA,"29,156"
01/08/2020,EIM,Software,USA,"8,336"
01/09/2020,EIM,Software,USA,"8,336"
01/10/2020,EIM,Software,USA,"8,336"
01/11/2020,EIM,Software,USA,"8,336"
01/12/2020,EIM,Software,USA,"8,336"
01/01/2020,EIM,Software Maintenance,USA,"14,973"
01/02/2020,EIM,Software Maintenance,USA,"22,294"
01/03/2020,EIM,Software Maintenance,USA,"33,580"
01/04/2020,EIM,Software Maintenance,USA,"18,263"
01/05/2020,EIM,Software Maintenance,USA,"12,336"
01/06/2020,EIM,Software Maintenance,USA,"6,408"
01/07/2020,EIM,Software Maintenance,USA,"42,851"
01/08/2020,EIM,Software Maintenance,USA,"34,899"
01/09/2020,EIM,Software Maintenance,USA,"19,679"
01/10/2020,EIM,Software Maintenance,USA,"23,887"
01/11/2020,EIM,Software Maintenance,USA,"22,850"
01/12/2020,EIM,Software Maintenance,USA,"22,850"
01/03/2020,EIM,Supplies,USA,288
01/04/2020,EIM,Supplies,USA,546
01/06/2020,EIM,Supplies,USA,6
01/07/2020,EIM,Supplies,USA,375
01/08/2020,EIM,Supplies,USA,375
01/09/2020,EIM,Supplies,USA,375
01/10/2020,EIM,Supplies,USA,375
01/11/2020,EIM,Supplies,USA,375
01/12/2020,EIM,Supplies,USA,375
01/01/2020,EIM,Telecomm,Belgium,38
01/02/2020,EIM,Telecomm,Belgium,40
01/03/2020,EIM,Telecomm,Belgium,-79
01/02/2020,EIM,Telecomm,Italy,735
01/03/2020,EIM,Telecomm,Italy,96
01/02/2020,EIM,Telecomm,USA,"1,101"
01/03/2020,EIM,Telecomm,USA,438
01/04/2020,EIM,Telecomm,USA,308
01/06/2020,EIM,Telecomm,USA,886
01/07/2020,EIM,Telecomm,USA,450
01/08/2020,EIM,Telecomm,USA,450
01/09/2020,EIM,Telecomm,USA,450
01/10/2020,EIM,Telecomm,USA,450
01/11/2020,EIM,Telecomm,USA,450
01/12/2020,EIM,Telecomm,USA,450
01/01/2020,EIM,Training,Belgium,-803
01/03/2020,EIM,Training,Belgium,831
01/03/2020,EIM,Training,USA,"1,374"
01/04/2020,EIM,Training,USA,717
01/05/2020,EIM,Training,USA,645
01/07/2020,EIM,Training,USA,"4,919"
01/08/2020,EIM,Training,USA,"4,919"
01/09/2020,EIM,Training,USA,"4,919"
01/10/2020,EIM,Training,USA,"4,919"
01/11/2020,EIM,Training,USA,"4,919"
01/12/2020,EIM,Training,USA,"4,919"
01/02/2020,EIM,Travel,Belgium,88
01/03/2020,EIM,Travel,Belgium,-88
01/04/2020,EIM,Travel,Belgium,"1,308"
01/03/2020,EIM,Travel,USA,153
01/04/2020,EIM,Travel,USA,791
01/05/2020,EIM,Travel,USA,424
01/06/2020,EIM,Travel,USA,"2,771"
01/07/2020,EIM,Travel,USA,"2,435"
01/08/2020,EIM,Travel,USA,"6,635"
01/09/2020,EIM,Travel,USA,"2,435"
01/10/2020,EIM,Travel,USA,"2,435"
01/11/2020,EIM,Travel,USA,"6,635"
01/12/2020,EIM,Travel,USA,"2,435"
01/01/2020,EIM,Vehicles,Belgium,389
01/02/2020,EIM,Vehicles,Belgium,330
01/03/2020,EIM,Vehicles,Belgium,-735
01/01/2020,Emerging,Depreciation,Brazil,"3,048"
01/02/2020,Emerging,Depreciation,Brazil,"2,960"
01/03/2020,Emerging,Depreciation,Brazil,"3,062"
01/04/2020,Emerging,Depreciation,Brazil,"2,844"
01/05/2020,Emerging,Depreciation,Brazil,"2,852"
01/06/2020,Emerging,Depreciation,Brazil,"2,237"
01/07/2020,Emerging,Depreciation,Brazil,"6,984"
01/08/2020,Emerging,Depreciation,Brazil,"6,984"
01/09/2020,Emerging,Depreciation,Brazil,"6,984"
01/10/2020,Emerging,Depreciation,Brazil,"6,984"
01/11/2020,Emerging,Depreciation,Brazil,"6,984"
01/12/2020,Emerging,Depreciation,Brazil,"6,984"
01/01/2020,Emerging,Depreciation,Mexico,444
01/02/2020,Emerging,Depreciation,Mexico,457
01/03/2020,Emerging,Depreciation,Mexico,454
01/04/2020,Emerging,Depreciation,Mexico,462
01/05/2020,Emerging,Depreciation,Mexico,476
01/06/2020,Emerging,Depreciation,Mexico,472
01/07/2020,Emerging,Depreciation,Mexico,"10,720"
01/08/2020,Emerging,Depreciation,Mexico,"10,720"
01/09/2020,Emerging,Depreciation,Mexico,"10,720"
01/10/2020,Emerging,Depreciation,Mexico,"10,984"
01/11/2020,Emerging,Depreciation,Mexico,"10,984"
01/12/2020,Emerging,Depreciation,Mexico,"10,984"
01/01/2020,Emerging,Depreciation,USA,63
01/02/2020,Emerging,Depreciation,USA,63
01/03/2020,Emerging,Depreciation,USA,63
01/04/2020,Emerging,Depreciation,USA,63
01/05/2020,Emerging,Depreciation,USA,63
01/06/2020,Emerging,Depreciation,USA,63
01/05/2020,Emerging,Employee Performance,USA,34
01/07/2020,Emerging,Employee Performance,USA,18
01/08/2020,Emerging,Employee Performance,USA,18
01/09/2020,Emerging,Employee Performance,USA,18
01/10/2020,Emerging,Employee Performance,USA,18
01/11/2020,Emerging,Employee Performance,USA,18
01/12/2020,Emerging,Employee Performance,USA,18
01/01/2020,Emerging,External Labor,Brazil,"12,518"
01/02/2020,Emerging,External Labor,Brazil,"6,965"
01/03/2020,Emerging,External Labor,Brazil,"1,112"
01/04/2020,Emerging,External Labor,Brazil,"10,441"
01/05/2020,Emerging,External Labor,Brazil,"8,847"
01/06/2020,Emerging,External Labor,Brazil,"8,405"
01/07/2020,Emerging,External Labor,Brazil,"3,949"
01/08/2020,Emerging,External Labor,Brazil,"3,949"
01/09/2020,Emerging,External Labor,Brazil,"3,949"
01/10/2020,Emerging,External Labor,Brazil,"3,949"
01/11/2020,Emerging,External Labor,Brazil,"3,949"
01/12/2020,Emerging,External Labor,Brazil,"3,949"
01/01/2020,Emerging,External Labor,Mexico,"2,950"
01/02/2020,Emerging,External Labor,Mexico,"1,645"
01/03/2020,Emerging,External Labor,Mexico,"15,485"
01/04/2020,Emerging,External Labor,Mexico,"31,985"
01/05/2020,Emerging,External Labor,Mexico,"1,713"
01/06/2020,Emerging,External Labor,Mexico,"2,173"
01/07/2020,Emerging,External Labor,Mexico,"1,775"
01/08/2020,Emerging,External Labor,Mexico,"1,775"
01/09/2020,Emerging,External Labor,Mexico,"1,775"
01/10/2020,Emerging,External Labor,Mexico,"1,775"
01/11/2020,Emerging,External Labor,Mexico,"1,775"
01/12/2020,Emerging,External Labor,Mexico,"1,775"
01/02/2020,Emerging,External Labor,USA,"50,238"
01/05/2020,Emerging,External Labor,USA,"8,693"
01/06/2020,Emerging,External Labor,USA,"9,365"
01/03/2020,Emerging,Hardware,USA,34
01/06/2020,Emerging,Hardware,USA,251
01/01/2020,Emerging,Hardware Maintenance,Brazil,810
01/02/2020,Emerging,Hardware Maintenance,Brazil,"3,282"
01/03/2020,Emerging,Hardware Maintenance,Brazil,"1,840"
01/04/2020,Emerging,Hardware Maintenance,Brazil,"4,850"
01/05/2020,Emerging,Hardware Maintenance,Brazil,929
01/06/2020,Emerging,Hardware Maintenance,Brazil,868
01/07/2020,Emerging,Hardware Maintenance,Brazil,"7,312"
01/08/2020,Emerging,Hardware Maintenance,Brazil,"12,412"
01/09/2020,Emerging,Hardware Maintenance,Brazil,"13,312"
01/10/2020,Emerging,Hardware Maintenance,Brazil,"7,312"
01/11/2020,Emerging,Hardware Maintenance,Brazil,"7,312"
01/12/2020,Emerging,Hardware Maintenance,Brazil,"7,312"
01/04/2020,Emerging,Hardware Maintenance,Mexico,6
01/07/2020,Emerging,Hardware Maintenance,Mexico,-1
01/08/2020,Emerging,Hardware Maintenance,Mexico,-1
01/09/2020,Emerging,Hardware Maintenance,Mexico,-1
01/10/2020,Emerging,Hardware Maintenance,Mexico,-1
01/11/2020,Emerging,Hardware Maintenance,Mexico,-1
01/12/2020,Emerging,Hardware Maintenance,Mexico,-1
01/01/2020,Emerging,Internal Labor,Brazil,"6,482"
01/02/2020,Emerging,Internal Labor,Brazil,"6,898"
01/03/2020,Emerging,Internal Labor,Brazil,"6,663"
01/04/2020,Emerging,Internal Labor,Brazil,"7,365"
01/05/2020,Emerging,Internal Labor,Brazil,"4,394"
01/06/2020,Emerging,Internal Labor,Brazil,"8,043"
01/07/2020,Emerging,Internal Labor,Brazil,"-6,641"
01/08/2020,Emerging,Internal Labor,Brazil,"-6,641"
01/09/2020,Emerging,Internal Labor,Brazil,"-6,641"
01/10/2020,Emerging,Internal Labor,Brazil,"-6,641"
01/11/2020,Emerging,Internal Labor,Brazil,"-6,641"
01/12/2020,Emerging,Internal Labor,Brazil,"-6,641"
01/01/2020,Emerging,Internal Labor,Mexico,"17,642"
01/02/2020,Emerging,Internal Labor,Mexico,"17,613"
01/03/2020,Emerging,Internal Labor,Mexico,"15,432"
01/04/2020,Emerging,Internal Labor,Mexico,"15,329"
01/05/2020,Emerging,Internal Labor,Mexico,"18,677"
01/06/2020,Emerging,Internal Labor,Mexico,"18,332"
01/07/2020,Emerging,Internal Labor,Mexico,"22,006"
01/08/2020,Emerging,Internal Labor,Mexico,"22,006"
01/09/2020,Emerging,Internal Labor,Mexico,"22,006"
01/10/2020,Emerging,Internal Labor,Mexico,"22,010"
01/11/2020,Emerging,Internal Labor,Mexico,"22,010"
01/12/2020,Emerging,Internal Labor,Mexico,"20,814"
01/01/2020,Emerging,Internal Labor,USA,"9,370"
01/02/2020,Emerging,Internal Labor,USA,"9,086"
01/03/2020,Emerging,Internal Labor,USA,"10,232"
01/04/2020,Emerging,Internal Labor,USA,"9,312"
01/05/2020,Emerging,Internal Labor,USA,"8,982"
01/06/2020,Emerging,Internal Labor,USA,"9,089"
01/07/2020,Emerging,Internal Labor,USA,"8,943"
01/08/2020,Emerging,Internal Labor,USA,"8,943"
01/09/2020,Emerging,Internal Labor,USA,"8,943"
01/10/2020,Emerging,Internal Labor,USA,"8,943"
01/11/2020,Emerging,Internal Labor,USA,"8,943"
01/12/2020,Emerging,Internal Labor,USA,"8,943"
01/01/2020,Emerging,Moving,Brazil,295
01/02/2020,Emerging,Moving,Brazil,293
01/03/2020,Emerging,Moving,Brazil,296
01/04/2020,Emerging,Moving,Brazil,318
01/05/2020,Emerging,Moving,Brazil,328
01/06/2020,Emerging,Moving,Brazil,326
01/07/2020,Emerging,Moving,Brazil,-309
01/08/2020,Emerging,Moving,Brazil,-309
01/09/2020,Emerging,Moving,Brazil,-309
01/10/2020,Emerging,Moving,Brazil,-309
01/11/2020,Emerging,Moving,Brazil,-309
01/12/2020,Emerging,Moving,Brazil,-309
01/01/2020,Emerging,Other,Brazil,"-1,092"
01/02/2020,Emerging,Other,Brazil,"2,023"
01/03/2020,Emerging,Other,Brazil,"1,298"
01/04/2020,Emerging,Other,Brazil,"1,641"
01/05/2020,Emerging,Other,Brazil,"3,628"
01/06/2020,Emerging,Other,Brazil,105
01/07/2020,Emerging,Other,Brazil,"1,686"
01/08/2020,Emerging,Other,Brazil,"1,686"
01/09/2020,Emerging,Other,Brazil,"1,686"
01/10/2020,Emerging,Other,Brazil,"1,686"
01/11/2020,Emerging,Other,Brazil,"1,686"
01/12/2020,Emerging,Other,Brazil,"1,686"
01/01/2020,Emerging,Other,Mexico,604
01/02/2020,Emerging,Other,Mexico,555
01/03/2020,Emerging,Other,Mexico,249
01/04/2020,Emerging,Other,Mexico,662
01/05/2020,Emerging,Other,Mexico,642
01/06/2020,Emerging,Other,Mexico,943
01/07/2020,Emerging,Other,Mexico,"1,007"
01/08/2020,Emerging,Other,Mexico,"1,007"
01/09/2020,Emerging,Other,Mexico,"1,007"
01/10/2020,Emerging,Other,Mexico,"1,007"
01/11/2020,Emerging,Other,Mexico,"1,007"
01/12/2020,Emerging,Other,Mexico,"1,007"
01/03/2020,Emerging,Other,Switzerland,"31,681"
01/06/2020,Emerging,Other,Switzerland,"14,579"
01/07/2020,Emerging,Other,Switzerland,"-4,526"
01/08/2020,Emerging,Other,Switzerland,"-4,526"
01/09/2020,Emerging,Other,Switzerland,"-4,526"
01/10/2020,Emerging,Other,Switzerland,"-4,526"
01/11/2020,Emerging,Other,Switzerland,"-4,526"
01/12/2020,Emerging,Other,Switzerland,"-4,526"
01/02/2020,Emerging,Other,USA,5
01/07/2020,Emerging,Other,USA,"15,204"
01/08/2020,Emerging,Other,USA,"15,204"
01/09/2020,Emerging,Other,USA,"15,204"
01/10/2020,Emerging,Other,USA,"15,204"
01/11/2020,Emerging,Other,USA,"15,204"
01/12/2020,Emerging,Other,USA,"15,204"
01/01/2020,Emerging,Recognition,Brazil,"2,254"
01/07/2020,Emerging,Recognition,Brazil,-376
01/08/2020,Emerging,Recognition,Brazil,-376
01/09/2020,Emerging,Recognition,Brazil,-376
01/10/2020,Emerging,Recognition,Brazil,-376
01/11/2020,Emerging,Recognition,Brazil,-376
01/12/2020,Emerging,Recognition,Brazil,-376
01/03/2020,Emerging,Recognition,Mexico,74
01/07/2020,Emerging,Recognition,Mexico,-12
01/08/2020,Emerging,Recognition,Mexico,-12
01/09/2020,Emerging,Recognition,Mexico,-12
01/10/2020,Emerging,Recognition,Mexico,-12
01/11/2020,Emerging,Recognition,Mexico,-12
01/12/2020,Emerging,Recognition,Mexico,-12
01/01/2020,Emerging,Severance,Brazil,518
01/02/2020,Emerging,Severance,Brazil,384
01/03/2020,Emerging,Severance,Brazil,387
01/04/2020,Emerging,Severance,Brazil,444
01/05/2020,Emerging,Severance,Brazil,438
01/06/2020,Emerging,Severance,Brazil,429
01/07/2020,Emerging,Severance,Brazil,-433
01/08/2020,Emerging,Severance,Brazil,-433
01/09/2020,Emerging,Severance,Brazil,-433
01/10/2020,Emerging,Severance,Brazil,-433
01/11/2020,Emerging,Severance,Brazil,-433
01/12/2020,Emerging,Severance,Brazil,-433
01/01/2020,Emerging,Severance,Mexico,6
01/02/2020,Emerging,Severance,Mexico,"3,736"
01/03/2020,Emerging,Severance,Mexico,"1,858"
01/04/2020,Emerging,Severance,Mexico,"1,891"
01/05/2020,Emerging,Severance,Mexico,"1,948"
01/06/2020,Emerging,Severance,Mexico,"1,935"
01/07/2020,Emerging,Severance,Mexico,"1,722"
01/08/2020,Emerging,Severance,Mexico,"1,722"
01/09/2020,Emerging,Severance,Mexico,"1,722"
01/10/2020,Emerging,Severance,Mexico,"1,722"
01/11/2020,Emerging,Severance,Mexico,"1,722"
01/12/2020,Emerging,Severance,Mexico,"1,722"
01/01/2020,Emerging,Software Maintenance,Brazil,389
01/02/2020,Emerging,Software Maintenance,Brazil,856
01/03/2020,Emerging,Software Maintenance,Brazil,"1,315"
01/04/2020,Emerging,Software Maintenance,Brazil,"1,516"
01/05/2020,Emerging,Software Maintenance,Brazil,"2,155"
01/06/2020,Emerging,Software Maintenance,Brazil,792
01/07/2020,Emerging,Software Maintenance,Brazil,"-1,171"
01/08/2020,Emerging,Software Maintenance,Brazil,"-1,171"
01/09/2020,Emerging,Software Maintenance,Brazil,"-1,171"
01/10/2020,Emerging,Software Maintenance,Brazil,"-1,171"
01/11/2020,Emerging,Software Maintenance,Brazil,"-1,171"
01/12/2020,Emerging,Software Maintenance,Brazil,"-1,171"
01/01/2020,Emerging,Supplies,Brazil,-39
01/03/2020,Emerging,Supplies,Brazil,2
01/04/2020,Emerging,Supplies,Brazil,3
01/05/2020,Emerging,Supplies,Brazil,19
01/06/2020,Emerging,Supplies,Brazil,9
01/07/2020,Emerging,Supplies,Brazil,136
01/08/2020,Emerging,Supplies,Brazil,136
01/09/2020,Emerging,Supplies,Brazil,136
01/10/2020,Emerging,Supplies,Brazil,136
01/11/2020,Emerging,Supplies,Brazil,136
01/12/2020,Emerging,Supplies,Brazil,136
01/01/2020,Emerging,Supplies,Mexico,66
01/03/2020,Emerging,Supplies,Mexico,36
01/04/2020,Emerging,Supplies,Mexico,77
01/05/2020,Emerging,Supplies,Mexico,3
01/06/2020,Emerging,Supplies,Mexico,7
01/07/2020,Emerging,Supplies,Mexico,17
01/08/2020,Emerging,Supplies,Mexico,17
01/09/2020,Emerging,Supplies,Mexico,17
01/10/2020,Emerging,Supplies,Mexico,17
01/11/2020,Emerging,Supplies,Mexico,17
01/12/2020,Emerging,Supplies,Mexico,17
01/03/2020,Emerging,Taxes,Mexico,31
01/04/2020,Emerging,Taxes,Mexico,35
01/05/2020,Emerging,Taxes,Mexico,10
01/06/2020,Emerging,Taxes,Mexico,264
01/07/2020,Emerging,Taxes,Mexico,23
01/08/2020,Emerging,Taxes,Mexico,23
01/09/2020,Emerging,Taxes,Mexico,23
01/10/2020,Emerging,Taxes,Mexico,23
01/11/2020,Emerging,Taxes,Mexico,23
01/12/2020,Emerging,Taxes,Mexico,23
01/01/2020,Emerging,Telecomm,Brazil,"2,433"
01/02/2020,Emerging,Telecomm,Brazil,"-3,394"
01/03/2020,Emerging,Telecomm,Brazil,"2,473"
01/04/2020,Emerging,Telecomm,Brazil,867
01/05/2020,Emerging,Telecomm,Brazil,807
01/06/2020,Emerging,Telecomm,Brazil,"1,320"
01/07/2020,Emerging,Telecomm,Brazil,"4,133"
01/08/2020,Emerging,Telecomm,Brazil,"4,133"
01/09/2020,Emerging,Telecomm,Brazil,"4,133"
01/10/2020,Emerging,Telecomm,Brazil,"4,133"
01/11/2020,Emerging,Telecomm,Brazil,"4,133"
01/12/2020,Emerging,Telecomm,Brazil,"4,133"
01/06/2020,Emerging,Telecomm,Mexico,85
01/07/2020,Emerging,Telecomm,Mexico,-14
